"Username","Condition.Number","Condition.Description","Stimuli.Cue","Stimuli.Answer","Stimuli.Shuffle","Stimuli.Stimuli.Notes","FREQ.RT","Response.JOL","Response.RT.1","Response.Response","Response.Accuracy","Recall_Score"
"w960899",11,"Frequency Version C","BLAZE","FIRE","Study1","F",5993,"80",1435,"fire",100,100
"w969987_kf",11,"Frequency Version C","BLAZE","FIRE","Study1","F",3338,"30",1201,"",0,0
"w997785_npg",11,"Frequency Version C","BLAZE","FIRE","Study1","F",3534,"82",3343,"Fire",100,100
"938419",11,"Frequency Version C","BRONZE","ARTERY","Study1","U",3404,"1",14116,"Color ",18.181818181818,0
"952757",11,"Frequency Version C","BRONZE","ARTERY","Study1","U",2211,"0",22341,"Medal",18.18181818,0
"966527",11,"Frequency Version C","BRONZE","ARTERY","Study1","U",1750,"0",1775,"",0,0
"w10029912",11,"Frequency Version C","BRONZE","ARTERY","Study1","U",3604,"21",3530,"",0,0
"W10080301",11,"Frequency Version C","BRONZE","ARTERY","Study1","U",5368,"0",4149,"",0,0
"w10092415_DA",11,"Frequency Version C","BRONZE","ARTERY","Study1","U",7109,"1",6291,"car",44.444444444444,0
"w944315",11,"Frequency Version C","BRONZE","ARTERY","Study1","U",3071,"0",11546,"",0,0
"w960899",11,"Frequency Version C","BRONZE","ARTERY","Study1","U",2151,"0",3565,"atery",90.909090909091,100
"w969987_kf",11,"Frequency Version C","BRONZE","ARTERY","Study1","U",1967,"0",4592,"medak",18.181818181818,0
"w997785_npg",11,"Frequency Version C","BRONZE","ARTERY","Study1","U",4530,"0",4850,"Gold",0,0
"938419",11,"Frequency Version C","BUSINESS","DEATH","Study1","U",3895,"0",6515,"Causal ",18.181818181818,0
"952757",11,"Frequency Version C","BUSINESS","DEATH","Study1","U",2894,"5",3594,"Hard",22.22222222,0
"966527",11,"Frequency Version C","BUSINESS","DEATH","Study1","U",6792,"0",2857,"",0,0
"w10029912",11,"Frequency Version C","BUSINESS","DEATH","Study1","U",3896,"1",4162,"degree",36.363636363636,0
"W10080301",11,"Frequency Version C","BUSINESS","DEATH","Study1","U",5733,"0",1842,"death",100,100
"w10092415_DA",11,"Frequency Version C","BUSINESS","DEATH","Study1","U",4178,"15",16833,"place",20,0
"w944315",11,"Frequency Version C","BUSINESS","DEATH","Study1","U",7962,"30",2670,"death",100,100
"w960899",11,"Frequency Version C","BUSINESS","DEATH","Study1","U",3315,"10",6406,"death",100,100
"w969987_kf",11,"Frequency Version C","BUSINESS","DEATH","Study1","U",1489,"0",2779,"job",0,0
"w997785_npg",11,"Frequency Version C","BUSINESS","DEATH","Study1","U",6836,"15",6109,"Death",100,100
"938419",11,"Frequency Version C","CAR","HAPPY","Study1","U",4175,"66",9670,"Suv ",0,0
"952757",11,"Frequency Version C","CAR","HAPPY","Study1","U",5061,"100",2192,"Drive",0,0
"966527",11,"Frequency Version C","CAR","HAPPY","Study1","U",5317,"12",4201,"",0,0
"w10029912",11,"Frequency Version C","CAR","HAPPY","Study1","U",1934,"25",3443,"happy",100,100
"W10080301",11,"Frequency Version C","CAR","HAPPY","Study1","U",16710,"7",4476,"happy",100,100
"w10092415_DA",11,"Frequency Version C","CAR","HAPPY","Study1","U",5530,"35",4282,"Horn",22.222222222222,0
"w944315",11,"Frequency Version C","CAR","HAPPY","Study1","U",4800,"0",4244,"happy",100,100
"w960899",11,"Frequency Version C","CAR","HAPPY","Study1","U",1506,"0",2128,"happy",100,100
"w969987_kf",11,"Frequency Version C","CAR","HAPPY","Study1","U",2803,"20",3310,"gas",25,0
"w997785_npg",11,"Frequency Version C","CAR","HAPPY","Study1","U",4002,"8",14496,"Fuel",0,0
"938419",11,"Frequency Version C","CARD","CREDIT","Study1","B",8199,"95",6432,"Credit ",100,100
"952757",11,"Frequency Version C","CARD","CREDIT","Study1","B",1310,"100",3531,"Credit",100,100
"966527",11,"Frequency Version C","CARD","CREDIT","Study1","B",3804,"100",2764,"",0,0
"w10029912",11,"Frequency Version C","CARD","CREDIT","Study1","B",2816,"85",8337,"Game",20,0
"W10080301",11,"Frequency Version C","CARD","CREDIT","Study1","B",4644,"95",2144,"credit",100,100
"w10092415_DA",11,"Frequency Version C","CARD","CREDIT","Study1","B",3874,"100",2355,"credit",100,100
"w944315",11,"Frequency Version C","CARD","CREDIT","Study1","B",3229,"80",3529,"",0,0
"w960899",11,"Frequency Version C","CARD","CREDIT","Study1","B",3150,"100",3492,"credit",100,100
"w969987_kf",11,"Frequency Version C","CARD","CREDIT","Study1","B",3240,"40",1974,"credit",100,100
"w997785_npg",11,"Frequency Version C","CARD","CREDIT","Study1","B",3925,"94",2728,"Game",20,0
"938419",11,"Frequency Version C","CAVE","DARK","Study1","F",6744,"30",3951,"Dark ",100,100
"952757",11,"Frequency Version C","CAVE","DARK","Study1","F",8303,"100",1638,"Dark",100,100
"966527",11,"Frequency Version C","CAVE","DARK","Study1","F",2742,"89",3995,"Dark",100,100
"w10029912",11,"Frequency Version C","CAVE","DARK","Study1","F",4208,"99",1549,"dark",100,100
"W10080301",11,"Frequency Version C","CAVE","DARK","Study1","F",4725,"80",12964,"dark",100,100
"w10092415_DA",11,"Frequency Version C","CAVE","DARK","Study1","F",3209,"89",2800,"dark",100,100
"w944315",11,"Frequency Version C","CAVE","DARK","Study1","F",1576,"50",3839,"dark",100,100
"w960899",11,"Frequency Version C","CAVE","DARK","Study1","F",3235,"90",2132,"dark",100,100
"w969987_kf",11,"Frequency Version C","CAVE","DARK","Study1","F",2862,"40",2333,"dark",100,100
"w997785_npg",11,"Frequency Version C","CAVE","DARK","Study1","F",6718,"49",3735,"Dark",100,100
"938419",11,"Frequency Version C","CHEESE","WINE","Study1","S",6735,"30",8381,"Wine ",100,100
"952757",11,"Frequency Version C","CHEESE","WINE","Study1","S",5285,"5",5137,"Grate",22.22222222,0
"966527",11,"Frequency Version C","CHEESE","WINE","Study1","S",4154,"25",22941,"",0,0
"w10029912",11,"Frequency Version C","CHEESE","WINE","Study1","S",1765,"66",2730,"Wine",100,100
"W10080301",11,"Frequency Version C","CHEESE","WINE","Study1","S",2866,"10",3351,"wine",100,100
"w10092415_DA",11,"Frequency Version C","CHEESE","WINE","Study1","S",4073,"80",3261,"wine",100,100
"w944315",11,"Frequency Version C","CHEESE","WINE","Study1","S",3912,"25",3229,"cloth",0,0
"w960899",11,"Frequency Version C","CHEESE","WINE","Study1","S",5840,"30",2826,"wine",100,100
"w969987_kf",11,"Frequency Version C","CHEESE","WINE","Study1","S",3041,"50",4055,"wine",100,100
"w997785_npg",11,"Frequency Version C","CHEESE","WINE","Study1","S",3251,"89",4024,"Wine",100,100
"938419",11,"Frequency Version C","CHILD","BABY","Study1","S",5928,"100",5278,"Punishment ",0,0
"952757",11,"Frequency Version C","CHILD","BABY","Study1","S",2064,"100",8102,"Babt",75,100
"966527",11,"Frequency Version C","CHILD","BABY","Study1","S",160689,"96",83955,"Baby",100,100
"w10029912",11,"Frequency Version C","CHILD","BABY","Study1","S",2260,"80",1832,"baby",100,100
"W10080301",11,"Frequency Version C","CHILD","BABY","Study1","S",3687,"75",11020,"baby",100,100
"w10092415_DA",11,"Frequency Version C","CHILD","BABY","Study1","S",6495,"100",4572,"woman",22.222222222222,0
"w944315",11,"Frequency Version C","CHILD","BABY","Study1","S",1895,"50",3076,"baby",100,100
"w960899",11,"Frequency Version C","CHILD","BABY","Study1","S",3069,"100",1811,"",0,0
"w969987_kf",11,"Frequency Version C","CHILD","BABY","Study1","S",2230,"70",3434,"baby",100,100
"w997785_npg",11,"Frequency Version C","CHILD","BABY","Study1","S",4473,"93",8887,"Baby",100,100
"938419",11,"Frequency Version C","CHILI","HOT","Study1","F",21532,"50",4130,"Hot ",100,100
"952757",11,"Frequency Version C","CHILI","HOT","Study1","F",3482,"100",3117,"Hot",100,100
"966527",11,"Frequency Version C","CHILI","HOT","Study1","F",6585,"87",1902,"Hot",100,100
"w10029912",11,"Frequency Version C","CHILI","HOT","Study1","F",5151,"64",1668,"hot",100,100
"W10080301",11,"Frequency Version C","CHILI","HOT","Study1","F",4880,"85",1486,"hot",100,100
"w10092415_DA",11,"Frequency Version C","CHILI","HOT","Study1","F",3364,"99",2573,"hot",100,100
"w944315",11,"Frequency Version C","CHILI","HOT","Study1","F",2559,"50",3731,"hot",100,100
"w960899",11,"Frequency Version C","CHILI","HOT","Study1","F",2754,"90",1571,"hot",100,100
"w969987_kf",11,"Frequency Version C","CHILI","HOT","Study1","F",4771,"40",2301,"warm",0,0
"w997785_npg",11,"Frequency Version C","CHILI","HOT","Study1","F",4197,"56",4618,"Hot",100,100
"938419",11,"Frequency Version C","CHORE","WORK","Study1","F",4430,"20",4671,"Wash ",25,0
"952757",11,"Frequency Version C","CHORE","WORK","Study1","F",2896,"80",1677,"Work",100,100
"966527",11,"Frequency Version C","CHORE","WORK","Study1","F",3329,"89",2412,"Work",100,100
"w10029912",11,"Frequency Version C","CHORE","WORK","Study1","F",3235,"87",2418,"work",100,100
"W10080301",11,"Frequency Version C","CHORE","WORK","Study1","F",23056,"90",8675,"task",25,0
"w10092415_DA",11,"Frequency Version C","CHORE","WORK","Study1","F",4053,"89",4087,"work",100,100
"w944315",11,"Frequency Version C","CHORE","WORK","Study1","F",3916,"50",3550,"work",100,100
"w960899",11,"Frequency Version C","CHORE","WORK","Study1","F",4190,"90",1616,"work",100,100
"w969987_kf",11,"Frequency Version C","CHORE","WORK","Study1","F",1400,"30",6257,"jobs",25,0
"w997785_npg",11,"Frequency Version C","CHORE","WORK","Study1","F",4583,"57",3607,"work",100,100
"938419",11,"Frequency Version C","CLEAN","HYGIENE","Study1","B",4269,"60",9042,"Trash ",16.666666666667,0
"952757",11,"Frequency Version C","CLEAN","HYGIENE","Study1","B",5323,"95",1686,"Tidy",18.18181818,0
"966527",11,"Frequency Version C","CLEAN","HYGIENE","Study1","B",7546,"95",1822,"",0,0
"w10029912",11,"Frequency Version C","CLEAN","HYGIENE","Study1","B",3674,"100",3796,"dirty",16.666666666667,0
"W10080301",11,"Frequency Version C","CLEAN","HYGIENE","Study1","B",24926,"60",9381,"wash",18.181818181818,0
"w10092415_DA",11,"Frequency Version C","CLEAN","HYGIENE","Study1","B",3201,"100",5527,"Hygine",92.307692307692,100
"w944315",11,"Frequency Version C","CLEAN","HYGIENE","Study1","B",2291,"50",5343,"",0,0
"w960899",11,"Frequency Version C","CLEAN","HYGIENE","Study1","B",5328,"95",2543,"",0,0
"w969987_kf",11,"Frequency Version C","CLEAN","HYGIENE","Study1","B",2094,"10",1805,"neat",36.363636363636,0
"w997785_npg",11,"Frequency Version C","CLEAN","HYGIENE","Study1","B",9181,"32",5433,"House",33.333333333333,0
"938419",11,"Frequency Version C","CLUTTER","PUSHER","Study1","U",4688,"0",5515,"Messy ",18.181818181818,0
"952757",11,"Frequency Version C","CLUTTER","PUSHER","Study1","U",2786,"0",11697,"busy",40,0
"966527",11,"Frequency Version C","CLUTTER","PUSHER","Study1","U",102057,"0",1246,"",0,0
"w10029912",11,"Frequency Version C","CLUTTER","PUSHER","Study1","U",3385,"13",9518,"draw",20,0
"W10080301",11,"Frequency Version C","CLUTTER","PUSHER","Study1","U",4296,"20",33422,"mess",20,0
"w10092415_DA",11,"Frequency Version C","CLUTTER","PUSHER","Study1","U",3730,"3",4063,"messy",18.181818181818,0
"w944315",11,"Frequency Version C","CLUTTER","PUSHER","Study1","U",9008,"0",14583,"pushed",83.333333333333,100
"w960899",11,"Frequency Version C","CLUTTER","PUSHER","Study1","U",3455,"0",5614,"",0,0
"w969987_kf",11,"Frequency Version C","CLUTTER","PUSHER","Study1","U",1760,"0",3403,"",0,0
"w997785_npg",11,"Frequency Version C","CLUTTER","PUSHER","Study1","U",5099,"5",8970,"Skip",20,0
"938419",11,"Frequency Version C","COLD","BITTER","Study1","B",3601,"0",3175,"Hot ",22.222222222222,0
"952757",11,"Frequency Version C","COLD","BITTER","Study1","B",4252,"20",1656,"",0,0
"966527",11,"Frequency Version C","COLD","BITTER","Study1","B",4089,"0",4220,"Bitter",100,100
"w10029912",11,"Frequency Version C","COLD","BITTER","Study1","B",2526,"99",5650,"bitter",100,100
"W10080301",11,"Frequency Version C","COLD","BITTER","Study1","B",3524,"10",4003,"",0,0
"w10092415_DA",11,"Frequency Version C","COLD","BITTER","Study1","B",476847,"25",4467,"chilly",16.666666666667,0
"w944315",11,"Frequency Version C","COLD","BITTER","Study1","B",11935,"5",5658,"bitter",100,100
"w960899",11,"Frequency Version C","COLD","BITTER","Study1","B",7197,"30",3026,"bitter",100,100
"w969987_kf",11,"Frequency Version C","COLD","BITTER","Study1","B",2630,"40",6181,"chili",18.181818181818,0
"w997785_npg",11,"Frequency Version C","COLD","BITTER","Study1","B",4775,"19",4157,"Flu",0,0
"938419",11,"Frequency Version C","COW","HERD","Study1","B",4735,"50",20051,"Beef ",25,0
"952757",11,"Frequency Version C","COW","HERD","Study1","B",8276,"85",1377,"",0,0
"966527",11,"Frequency Version C","COW","HERD","Study1","B",4868,"94",2959,"Milk",0,0
"w10029912",11,"Frequency Version C","COW","HERD","Study1","B",2074,"84",2839,"field",44.444444444444,0
"W10080301",11,"Frequency Version C","COW","HERD","Study1","B",5836,"75",9912,"herd",100,100
"w10092415_DA",11,"Frequency Version C","COW","HERD","Study1","B",2707,"100",4207,"herd",100,100
"w944315",11,"Frequency Version C","COW","HERD","Study1","B",3839,"60",4984,"",0,0
"w960899",11,"Frequency Version C","COW","HERD","Study1","B",1718,"100",1923,"herd",100,100
"w969987_kf",11,"Frequency Version C","COW","HERD","Study1","B",2464,"60",2409,"herd",100,100
"w997785_npg",11,"Frequency Version C","COW","HERD","Study1","B",4753,"53",7090,"herd",100,100
"938419",11,"Frequency Version C","DEFINITION","MEANING","Study1","S",5026,"100",6356,"Word ",0,0
"952757",11,"Frequency Version C","DEFINITION","MEANING","Study1","S",3783,"95",2271,"Meaning",100,100
"966527",11,"Frequency Version C","DEFINITION","MEANING","Study1","S",6124,"90",4013,"Meaning",100,100
"w10029912",11,"Frequency Version C","DEFINITION","MEANING","Study1","S",4225,"97",2286,"word",0,0
"W10080301",11,"Frequency Version C","DEFINITION","MEANING","Study1","S",5813,"80",4045,"word",0,0
"w10092415_DA",11,"Frequency Version C","DEFINITION","MEANING","Study1","S",2218,"99",3309,"meaning",100,100
"w944315",11,"Frequency Version C","DEFINITION","MEANING","Study1","S",3735,"50",2441,"meaning",100,100
"w960899",11,"Frequency Version C","DEFINITION","MEANING","Study1","S",4796,"100",2327,"meaning ",100,100
"w969987_kf",11,"Frequency Version C","DEFINITION","MEANING","Study1","S",2318,"70",11467,"meaning",100,100
"w997785_npg",11,"Frequency Version C","DEFINITION","MEANING","Study1","S",3663,"90",3656,"Meaning",100,100
"938419",11,"Frequency Version C","DESIGN","ARCHITECTURE","Study1","S",5596,"10",5275,"Map ",13.333333333333,0
"952757",11,"Frequency Version C","DESIGN","ARCHITECTURE","Study1","S",3265,"40",3160,"",0,0
"966527",11,"Frequency Version C","DESIGN","ARCHITECTURE","Study1","S",2524,"78",24171,"Architecture",100,100
"w10029912",11,"Frequency Version C","DESIGN","ARCHITECTURE","Study1","S",3044,"88",8475,"architecture",100,100
"W10080301",11,"Frequency Version C","DESIGN","ARCHITECTURE","Study1","S",4528,"55",1602,"",0,0
"w10092415_DA",11,"Frequency Version C","DESIGN","ARCHITECTURE","Study1","S",3984,"100",5110,"Attire",55.555555555556,0
"w944315",11,"Frequency Version C","DESIGN","ARCHITECTURE","Study1","S",16556,"100",7878,"Architecture",100,100
"w960899",11,"Frequency Version C","DESIGN","ARCHITECTURE","Study1","S",3202,"100",5768,"archeticure",78.260869565217,100
"w969987_kf",11,"Frequency Version C","DESIGN","ARCHITECTURE","Study1","S",2774,"40",1576,"",0,0
"w997785_npg",11,"Frequency Version C","DESIGN","ARCHITECTURE","Study1","S",3690,"86",7576,"Graphic",42.105263157895,0
"938419",11,"Frequency Version C","DIVISION","MATH","Study1","F",6429,"50",5610,"Math ",100,100
"952757",11,"Frequency Version C","DIVISION","MATH","Study1","F",2931,"100",2146,"Math",100,100
"966527",11,"Frequency Version C","DIVISION","MATH","Study1","F",7211,"90",5285,"Math",100,100
"w10029912",11,"Frequency Version C","DIVISION","MATH","Study1","F",2784,"95",4382,"mathh",88.888888888889,100
"W10080301",11,"Frequency Version C","DIVISION","MATH","Study1","F",2989,"25",5430,"Math",100,100
"w10092415_DA",11,"Frequency Version C","DIVISION","MATH","Study1","F",2654,"100",1991,"math",100,100
"w944315",11,"Frequency Version C","DIVISION","MATH","Study1","F",7016,"50",1670,"",0,0
"w960899",11,"Frequency Version C","DIVISION","MATH","Study1","F",4918,"100",1850,"",0,0
"w969987_kf",11,"Frequency Version C","DIVISION","MATH","Study1","F",2310,"60",2308,"job",0,0
"w997785_npg",11,"Frequency Version C","DIVISION","MATH","Study1","F",4978,"81",3605,"Math",100,100
"938419",11,"Frequency Version C","DOG","PAW","Study1","B",4313,"45",10484,"Cat ",33.333333333333,0
"952757",11,"Frequency Version C","DOG","PAW","Study1","B",1672,"100",5402,"Cat",33.33333333,0
"966527",11,"Frequency Version C","DOG","PAW","Study1","B",5331,"50",5073,"CAT",33.333333333333,0
"w10029912",11,"Frequency Version C","DOG","PAW","Study1","B",4335,"97",1713,"cat",33.333333333333,0
"W10080301",11,"Frequency Version C","DOG","PAW","Study1","B",17431,"35",2740,"cat",33.333333333333,0
"w10092415_DA",11,"Frequency Version C","DOG","PAW","Study1","B",4453,"55",1926,"cat",33.333333333333,0
"w944315",11,"Frequency Version C","DOG","PAW","Study1","B",4083,"60",3916,"paw",100,100
"w960899",11,"Frequency Version C","DOG","PAW","Study1","B",4905,"90",2507,"paw",100,100
"w969987_kf",11,"Frequency Version C","DOG","PAW","Study1","B",6421,"50",1838,"cat",33.333333333333,0
"w997785_npg",11,"Frequency Version C","DOG","PAW","Study1","B",4519,"90",2650,"Cat",33.333333333333,0
"938419",11,"Frequency Version C","DROWSY","SLEEP","Study1","F",4681,"55",10401,"Sleepy ",90.909090909091,0
"952757",11,"Frequency Version C","DROWSY","SLEEP","Study1","F",1838,"100",1853,"Sleep",100,100
"966527",11,"Frequency Version C","DROWSY","SLEEP","Study1","F",2697,"90",2172,"Tired",20,0
"w10029912",11,"Frequency Version C","DROWSY","SLEEP","Study1","F",2821,"78",1889,"sleep",100,100
"W10080301",11,"Frequency Version C","DROWSY","SLEEP","Study1","F",13636,"90",1951,"sleep",100,100
"w10092415_DA",11,"Frequency Version C","DROWSY","SLEEP","Study1","F",5109,"92",7646,"tired",20,0
"w944315",11,"Frequency Version C","DROWSY","SLEEP","Study1","F",4226,"50",3482,"sleep",100,100
"w960899",11,"Frequency Version C","DROWSY","SLEEP","Study1","F",2839,"90",2689,"sleepy",90.909090909091,100
"w969987_kf",11,"Frequency Version C","DROWSY","SLEEP","Study1","F",1965,"60",3272,"sleepy",90.909090909091,100
"w997785_npg",11,"Frequency Version C","DROWSY","SLEEP","Study1","F",3538,"70",4814,"Tired",20,0
"938419",11,"Frequency Version C","END","BEGIN","Study1","S",7096,"10",11863,"Begin ",100,100
"952757",11,"Frequency Version C","END","BEGIN","Study1","S",5499,"100",1592,"Begin",100,100
"966527",11,"Frequency Version C","END","BEGIN","Study1","S",4079,"95",5348,"Begin",100,100
"w10029912",11,"Frequency Version C","END","BEGIN","Study1","S",2989,"75",2895,"beginning",71.428571428571,0
"W10080301",11,"Frequency Version C","END","BEGIN","Study1","S",8092,"40",3240,"begin",100,100
"w10092415_DA",11,"Frequency Version C","END","BEGIN","Study1","S",3576,"78",3635,"begin",100,100
"w944315",11,"Frequency Version C","END","BEGIN","Study1","S",3646,"50",3491,"begin",100,100
"w960899",11,"Frequency Version C","END","BEGIN","Study1","S",2283,"100",1744,"begin",100,100
"w969987_kf",11,"Frequency Version C","END","BEGIN","Study1","S",3675,"60",3332,"start",0,0
"w997785_npg",11,"Frequency Version C","END","BEGIN","Study1","S",6200,"80",6937,"Game",22.222222222222,0
"938419",11,"Frequency Version C","ENOUGH","FULL","Study1","F",4902,"50",14701,"Strong ",0,0
"952757",11,"Frequency Version C","ENOUGH","FULL","Study1","F",7429,"95",2710,"Full",100,100
"966527",11,"Frequency Version C","ENOUGH","FULL","Study1","F",7589,"47",4625,"Full",100,100
"w10029912",11,"Frequency Version C","ENOUGH","FULL","Study1","F",2630,"55",5691,"full",100,100
"W10080301",11,"Frequency Version C","ENOUGH","FULL","Study1","F",14083,"70",14812,"finish",20,0
"w10092415_DA",11,"Frequency Version C","ENOUGH","FULL","Study1","F",4882,"80",7251,"Plenty",20,0
"w944315",11,"Frequency Version C","ENOUGH","FULL","Study1","F",9952,"90",4005,"full",100,100
"w960899",11,"Frequency Version C","ENOUGH","FULL","Study1","F",2614,"90",2035,"full",100,100
"w969987_kf",11,"Frequency Version C","ENOUGH","FULL","Study1","F",3721,"40",3327,"more",0,0
"w997785_npg",11,"Frequency Version C","ENOUGH","FULL","Study1","F",2914,"7",4093,"Now",0,0
"938419",11,"Frequency Version C","FAMINE","HUNGER","Study1","F",4585,"0",4562,"Woman ",18.181818181818,0
"952757",11,"Frequency Version C","FAMINE","HUNGER","Study1","F",9993,"15",1599,"Hunger",100,100
"966527",11,"Frequency Version C","FAMINE","HUNGER","Study1","F",3538,"80",3931,"",0,0
"w10029912",11,"Frequency Version C","FAMINE","HUNGER","Study1","F",5058,"67",2126,"hungry",83.333333333333,100
"W10080301",11,"Frequency Version C","FAMINE","HUNGER","Study1","F",8011,"30",3128,"hunger",100,100
"w10092415_DA",11,"Frequency Version C","FAMINE","HUNGER","Study1","F",3378,"100",2822,"hunger",100,100
"w944315",11,"Frequency Version C","FAMINE","HUNGER","Study1","F",13076,"10",2537,"hunger",100,100
"w960899",11,"Frequency Version C","FAMINE","HUNGER","Study1","F",3321,"90",2059,"hunger",100,100
"w969987_kf",11,"Frequency Version C","FAMINE","HUNGER","Study1","F",1666,"0",1405,"",0,0
"w997785_npg",11,"Frequency Version C","FAMINE","HUNGER","Study1","F",4057,"94",2865,"Hunger",100,100
"938419",11,"Frequency Version C","FANTASTIC","GREAT","Study1","F",4313,"22",6262,"Great ",100,100
"952757",11,"Frequency Version C","FANTASTIC","GREAT","Study1","F",2041,"100",2840,"Great",100,100
"966527",11,"Frequency Version C","FANTASTIC","GREAT","Study1","F",10290,"0",4454,"GREAT",100,100
"w10029912",11,"Frequency Version C","FANTASTIC","GREAT","Study1","F",2902,"46",2675,"good",22.222222222222,0
"W10080301",11,"Frequency Version C","FANTASTIC","GREAT","Study1","F",6809,"453",5841,"great",100,100
"w10092415_DA",11,"Frequency Version C","FANTASTIC","GREAT","Study1","F",4980,"100",1926,"cat",50,0
"w944315",11,"Frequency Version C","FANTASTIC","GREAT","Study1","F",15946,"99",2635,"great",100,100
"w960899",11,"Frequency Version C","FANTASTIC","GREAT","Study1","F",2789,"100",5434,"terrific ",15.384615384615,0
"w969987_kf",11,"Frequency Version C","FANTASTIC","GREAT","Study1","F",1532,"7",1934,"great",100,100
"w997785_npg",11,"Frequency Version C","FANTASTIC","GREAT","Study1","F",4313,"90",15847,"Good",22.222222222222,0
"938419",11,"Frequency Version C","FISH","TUNA","Study1","B",4176,"40",13239,"Poultry ",18.181818181818,0
"952757",11,"Frequency Version C","FISH","TUNA","Study1","B",6935,"70",7041,"Water",22.22222222,0
"966527",11,"Frequency Version C","FISH","TUNA","Study1","B",3320,"100",3146,"Tuna",100,100
"w10029912",11,"Frequency Version C","FISH","TUNA","Study1","B",2519,"75",1970,"tuna",100,100
"W10080301",11,"Frequency Version C","FISH","TUNA","Study1","B",3785,"90",1471,"tuna",100,100
"w10092415_DA",11,"Frequency Version C","FISH","TUNA","Study1","B",3114,"100",3068,"tuna",100,100
"w944315",11,"Frequency Version C","FISH","TUNA","Study1","B",3090,"90",11580,"",0,0
"w960899",11,"Frequency Version C","FISH","TUNA","Study1","B",8424,"100",2480,"",0,0
"w969987_kf",11,"Frequency Version C","FISH","TUNA","Study1","B",2084,"30",1916,"water",22.222222222222,0
"w997785_npg",11,"Frequency Version C","FISH","TUNA","Study1","B",4832,"63",3257,"Water",22.222222222222,0
"938419",11,"Frequency Version C","FLOOR","DISCOVER","Study1","U",12483,"2",12198,"Clean ",30.769230769231,0
"952757",11,"Frequency Version C","FLOOR","DISCOVER","Study1","U",2029,"0",2584,"Ground",14.28571429,0
"966527",11,"Frequency Version C","FLOOR","DISCOVER","Study1","U",1777,"0",1707,"",0,0
"w10029912",11,"Frequency Version C","FLOOR","DISCOVER","Study1","U",2912,"12",2822,"roof",16.666666666667,0
"W10080301",11,"Frequency Version C","FLOOR","DISCOVER","Study1","U",8719,"15",1951,"",0,0
"w10092415_DA",11,"Frequency Version C","FLOOR","DISCOVER","Study1","U",3904,"32",4904,"sweep",30.769230769231,0
"w944315",11,"Frequency Version C","FLOOR","DISCOVER","Study1","U",3839,"5",9438,"discover",100,100
"w960899",11,"Frequency Version C","FLOOR","DISCOVER","Study1","U",4308,"0",4943,"discover",100,100
"w969987_kf",11,"Frequency Version C","FLOOR","DISCOVER","Study1","U",1938,"0",3268,"wall",0,0
"w997785_npg",11,"Frequency Version C","FLOOR","DISCOVER","Study1","U",5815,"2",7111,"Ceiling",26.666666666667,0
"938419",11,"Frequency Version C","FLOWER","ORCHID","Study1","B",3590,"40",3963,"Pot ",22.222222222222,0
"952757",11,"Frequency Version C","FLOWER","ORCHID","Study1","B",3651,"30",3298,"Orchid",100,100
"966527",11,"Frequency Version C","FLOWER","ORCHID","Study1","B",6049,"40",40893,"Archid",83.333333333333,100
"w10029912",11,"Frequency Version C","FLOWER","ORCHID","Study1","B",3366,"85",2391,"root",20,0
"W10080301",11,"Frequency Version C","FLOWER","ORCHID","Study1","B",3493,"90",3185,"lily",20,0
"w10092415_DA",11,"Frequency Version C","FLOWER","ORCHID","Study1","B",207673,"98",4375,"orchid",100,100
"w944315",11,"Frequency Version C","FLOWER","ORCHID","Study1","B",2774,"50",11775,"Orchid",100,100
"w960899",11,"Frequency Version C","FLOWER","ORCHID","Study1","B",4084,"80",1957,"",0,0
"w969987_kf",11,"Frequency Version C","FLOWER","ORCHID","Study1","B",1948,"100",2041,"roots",18.181818181818,0
"w997785_npg",11,"Frequency Version C","FLOWER","ORCHID","Study1","B",3535,"80",6106,"Orchard",76.923076923077,0
"938419",11,"Frequency Version C","FOOT","SHOE","Study1","S",6977,"97",4911,"Toes ",50,0
"952757",11,"Frequency Version C","FOOT","SHOE","Study1","S",1226,"100",1329,"",0,0
"966527",11,"Frequency Version C","FOOT","SHOE","Study1","S",3976,"100",3296,"Shoe",100,100
"w10029912",11,"Frequency Version C","FOOT","SHOE","Study1","S",1457,"85",1998,"Shoe",100,100
"W10080301",11,"Frequency Version C","FOOT","SHOE","Study1","S",5843,"79",4715,"shoe",100,100
"w10092415_DA",11,"Frequency Version C","FOOT","SHOE","Study1","S",4117,"89",3399,"shoe",100,100
"w944315",11,"Frequency Version C","FOOT","SHOE","Study1","S",2549,"90",5606,"shoe",100,100
"w960899",11,"Frequency Version C","FOOT","SHOE","Study1","S",2269,"100",3514,"shoe",100,100
"w969987_kf",11,"Frequency Version C","FOOT","SHOE","Study1","S",1607,"70",1898,"shoe",100,100
"w997785_npg",11,"Frequency Version C","FOOT","SHOE","Study1","S",5008,"72",8070,"Leg",28.571428571429,0
"938419",11,"Frequency Version C","FUTURE","PAST","Study1","S",7836,"20",6055,"Past ",100,100
"952757",11,"Frequency Version C","FUTURE","PAST","Study1","S",3036,"90",2407,"Past",100,100
"966527",11,"Frequency Version C","FUTURE","PAST","Study1","S",3386,"90",2609,"Past",100,100
"w10029912",11,"Frequency Version C","FUTURE","PAST","Study1","S",2973,"50",2036,"past",100,100
